rank	dataset	sample_id	cancer	candidate	pathway	ligand	receptor	priority	v3_score	recurrence_n	target_enrichment	target_percentile	evidence_grade	manual_review_category	evidence_summary	source_ids	source_urls	manual_review_status
11	GSE292299	GSM8855718_NSCLC_P16	NSCLC	tumor_like->tumor_like MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.937681	15	2.3370801	1	direct_axis_same_cancer	same_cancer_axis	Published evidence supports the MIF-CD74 axis in the same broad cancer context (NSCLC); this is not exact MVP-sample validation.	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
12	GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune->immune MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.937361	15	2.027398	1	direct_axis_same_cancer	same_cancer_axis	Published evidence supports the MIF-CD74 axis in the same broad cancer context (NSCLC); this is not exact MVP-sample validation.	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
13	GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast->stroma_fibroblast MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.937148	11	1.5418869	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
14	GSE292299	GSM8855715_NSCLC_P13	NSCLC	stroma_fibroblast->stroma_fibroblast SPP1-ITGAV	SPP1	SPP1	ITGAV	tier2_recurrent_external_target_supported	0.937136	15	1.3832255	1	broad_spp1_integrin_axis	broad_pathway	Published evidence supports broad SPP1-integrin signaling, but not exact SPP1-ITGAV validation in this dataset.	GEO_GSE292299;PMID_42092150;PMID_27329720;PMID_39267037;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/27329720/;https://pubmed.ncbi.nlm.nih.gov/39267037/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
15	GSE283052	GSM8655165_P15	colorectal cancer	stroma_fibroblast->stroma_fibroblast MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.937041	11	3.3370286	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
16	GSE283052	GSM8655163_P11	colorectal cancer	stroma_fibroblast->stroma_fibroblast MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.936509	11	2.4518356	0.8	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
17	GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune->immune MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.936402	15	3.2997073	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current DLBCL row remains computationally inferred.	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_39998673	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/;https://pubmed.ncbi.nlm.nih.gov/39998673/	first_pass_pubmed_geo_checked
18	GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast->stroma_fibroblast MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.936012	11	3.1676928	0.8	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
19	GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast->stroma_fibroblast COL1A1-ITGA2	ECM-integrin	COL1A1	ITGA2	tier1_recurrent_external_target_enriched	0.935763	12	3.2772337	1	direct_ecm_receptor_other_cancer	broad_pathway	Published evidence supports collagen type I-ITGA2 signaling in an ECM-rich cancer context; treat as ECM-integrin support rather than exact COL1A1-only validation.	GEO_GSE283052;PMID_36575207	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/36575207/	first_pass_pubmed_geo_checked
20	GSE283052	GSM8655159_P05	colorectal cancer	stroma_fibroblast->stroma_fibroblast MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.935266	11	2.4299352	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
21	GSE292299	GSM8855708_NSCLC_P6	NSCLC	stroma_fibroblast->stroma_fibroblast SPP1-CD44	SPP1	SPP1	CD44	tier2_recurrent_external_target_supported	0.934698	15	1.3434962	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the SPP1-CD44 axis in another tumor microenvironment; current NSCLC row remains computationally inferred.	GEO_GSE292299;PMID_42092150;PMID_34418441;PMID_41120125;PMID_39267037;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/34418441/;https://pubmed.ncbi.nlm.nih.gov/41120125/;https://pubmed.ncbi.nlm.nih.gov/39267037/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
22	GSE292299	GSM8855711_NSCLC_P9	NSCLC	tumor_like->tumor_like MIF-CD74	MIF	MIF	CD74	tier2_recurrent_external_target_supported	0.934662	15	1.274579	1	direct_axis_same_cancer	same_cancer_axis	Published evidence supports the MIF-CD74 axis in the same broad cancer context (NSCLC); this is not exact MVP-sample validation.	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
23	GSE283052	GSM8655158_P04	colorectal cancer	stroma_fibroblast->stroma_fibroblast MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.934378	11	2.0002012	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
24	GSE292299	GSM8855714_NSCLC_P12	NSCLC	stroma_fibroblast->stroma_fibroblast COL1A1-ITGA2	ECM-integrin	COL1A1	ITGA2	tier1_recurrent_external_target_enriched	0.933561	17	4.1520727	1	direct_ecm_receptor_other_cancer	broad_pathway	Published evidence supports collagen type I-ITGA2 signaling in an ECM-rich cancer context; treat as ECM-integrin support rather than exact COL1A1-only validation.	GEO_GSE292299;PMID_42092150;PMID_36575207;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/36575207/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
25	GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast->stroma_fibroblast MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.933313	11	2.9179717	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
26	GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast->stroma_fibroblast MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.932638	11	2.354084	0.8	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
27	GSE292299	GSM8855706_NSCLC_P4	NSCLC	immune->immune SPP1-CD44	SPP1	SPP1	CD44	tier1_recurrent_external_target_enriched	0.932531	14	3.2278427	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the SPP1-CD44 axis in another tumor microenvironment; current NSCLC row remains computationally inferred.	GEO_GSE292299;PMID_42092150;PMID_34418441;PMID_41120125;PMID_39267037;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/34418441/;https://pubmed.ncbi.nlm.nih.gov/41120125/;https://pubmed.ncbi.nlm.nih.gov/39267037/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
28	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like->tumor_like SPP1-CD44	SPP1	SPP1	CD44	tier3_target_supported_high_v3	0.932247	4	1.7923923	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the SPP1-CD44 axis in another tumor microenvironment; current melanoma row remains computationally inferred.	GEO_GSE300445;PMID_42315253;PMID_34418441;PMID_41120125;PMID_39267037	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300445;https://pubmed.ncbi.nlm.nih.gov/42315253/;https://pubmed.ncbi.nlm.nih.gov/34418441/;https://pubmed.ncbi.nlm.nih.gov/41120125/;https://pubmed.ncbi.nlm.nih.gov/39267037/	first_pass_pubmed_geo_checked
29	GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast->stroma_fibroblast COL1A1-ITGA2	ECM-integrin	COL1A1	ITGA2	tier1_recurrent_external_target_enriched	0.931821	12	6.2395148	1	direct_ecm_receptor_other_cancer	broad_pathway	Published evidence supports collagen type I-ITGA2 signaling in an ECM-rich cancer context; treat as ECM-integrin support rather than exact COL1A1-only validation.	GEO_GSE283052;PMID_36575207	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/36575207/	first_pass_pubmed_geo_checked
30	GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune->immune CXCL12-CXCR4	CXCL chemokine	CXCL12	CXCR4	tier1_recurrent_external_target_enriched	0.931608	14	1.9015468	1	direct_axis_same_cancer	same_cancer_axis	Published evidence supports the CXCL12-CXCR4 axis in the same broad cancer context (NSCLC); this is not exact MVP-sample validation.	GEO_GSE292299;PMID_42092150;PMID_21463876;PMID_41383468;PMID_41991241;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/21463876/;https://pubmed.ncbi.nlm.nih.gov/41383468/;https://pubmed.ncbi.nlm.nih.gov/41991241/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
31	GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like->tumor_like MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.930969	15	2.1112671	1	direct_axis_same_cancer	same_cancer_axis	Published evidence supports the MIF-CD74 axis in the same broad cancer context (NSCLC); this is not exact MVP-sample validation.	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
32	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like->tumor_like JAG1-NOTCH2	NOTCH	JAG1	NOTCH2	tier3_target_supported_high_v3	0.93072	4	1.9646592	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the JAG1-NOTCH2 axis in another tumor microenvironment; current melanoma row remains computationally inferred.	GEO_GSE300445;PMID_42315253;PMID_41519773;PMID_31894255;PMID_27196489	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300445;https://pubmed.ncbi.nlm.nih.gov/42315253/;https://pubmed.ncbi.nlm.nih.gov/41519773/;https://pubmed.ncbi.nlm.nih.gov/31894255/;https://pubmed.ncbi.nlm.nih.gov/27196489/	first_pass_pubmed_geo_checked
33	GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune->immune MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.930259	15	7.8741462	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current DLBCL row remains computationally inferred.	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_39998673	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/;https://pubmed.ncbi.nlm.nih.gov/39998673/	first_pass_pubmed_geo_checked
34	GSE292299	GSM8855704_NSCLC_P2	NSCLC	stroma_fibroblast->stroma_fibroblast COL1A1-ITGA2	ECM-integrin	COL1A1	ITGA2	tier1_recurrent_external_target_enriched	0.929398	17	2.3889559	1	direct_ecm_receptor_other_cancer	broad_pathway	Published evidence supports collagen type I-ITGA2 signaling in an ECM-rich cancer context; treat as ECM-integrin support rather than exact COL1A1-only validation.	GEO_GSE292299;PMID_42092150;PMID_36575207;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/36575207/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
35	GSE292299	GSM8855715_NSCLC_P13	NSCLC	tumor_like->tumor_like JAG1-NOTCH2	NOTCH	JAG1	NOTCH2	tier2_recurrent_external_target_supported	0.928387	15	1.4477307	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the JAG1-NOTCH2 axis in another tumor microenvironment; current NSCLC row remains computationally inferred.	GEO_GSE292299;PMID_42092150;PMID_41519773;PMID_31894255;PMID_27196489;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/41519773/;https://pubmed.ncbi.nlm.nih.gov/31894255/;https://pubmed.ncbi.nlm.nih.gov/27196489/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
36	GSE292299	GSM8855707_NSCLC_P5	NSCLC	stroma_fibroblast->stroma_fibroblast COL1A1-ITGA2	ECM-integrin	COL1A1	ITGA2	tier1_recurrent_external_target_enriched	0.927773	17	6.4912284	1	direct_ecm_receptor_other_cancer	broad_pathway	Published evidence supports collagen type I-ITGA2 signaling in an ECM-rich cancer context; treat as ECM-integrin support rather than exact COL1A1-only validation.	GEO_GSE292299;PMID_42092150;PMID_36575207;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/36575207/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
37	GSE283052	GSM8655162_P10	colorectal cancer	stroma_fibroblast->stroma_fibroblast MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.927595	11	4.3694791	1	direct_axis_other_cancer	other_cancer_axis	Published evidence supports the MIF-CD74 axis in another tumor microenvironment; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
38	GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast->stroma_fibroblast COL1A1-ITGA2	ECM-integrin	COL1A1	ITGA2	tier1_recurrent_external_target_enriched	0.927418	12	4.2917455	1	direct_ecm_receptor_other_cancer	broad_pathway	Published evidence supports collagen type I-ITGA2 signaling in an ECM-rich cancer context; treat as ECM-integrin support rather than exact COL1A1-only validation.	GEO_GSE283052;PMID_36575207	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/36575207/	first_pass_pubmed_geo_checked
39	GSE300445	GSM9060735_AdjIII-0133	melanoma	stroma_fibroblast->stroma_fibroblast COL1A1-ITGA2	ECM-integrin	COL1A1	ITGA2	tier3_target_supported_high_v3	0.927049	4	2.928856	1	direct_ecm_receptor_other_cancer	broad_pathway	Published evidence supports collagen type I-ITGA2 signaling in an ECM-rich cancer context; treat as ECM-integrin support rather than exact COL1A1-only validation.	GEO_GSE300445;PMID_42315253;PMID_36575207	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300445;https://pubmed.ncbi.nlm.nih.gov/42315253/;https://pubmed.ncbi.nlm.nih.gov/36575207/	first_pass_pubmed_geo_checked
