dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	source_method	pilot_score	pilot_score_percentile	spatial_null_p	label_null_p	fake_lr_null_p	null_support_mean	dataset_recurrence_n	dataset_recurrence_fraction	recurrence_support	annotation_quality	spatiallr_trust_score_pilot	confidence_tier_pilot	notes	method_support_count	stdlib_supported	commot_supported	method_consistency_support	commot_mean_score	spatiallr_trust_score_pilot_v2	confidence_tier_pilot_v2	notes_v2	tri_method_support_count	commot_supported_v3	liana_supported	external_method_support_count	external_method_support_fraction	liana_lr_means	liana_cellphone_pvals	spatiallr_trust_score_pilot_v3	confidence_tier_pilot_v3	notes_v3
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	stdlib_marker_lr_pilot	87.943271	0.9079072	0.019607843	0.032258065	0.069306931	0.95960905	4	1	1	0.5	0.91138597	high_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0016857509669389822	0.9200297	high_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.7859771856169636	0.0	0.92003	high_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	CXCL9	CXCR3	CXCL chemokine	stdlib_marker_lr_pilot	0.13003617	0.30752841	0.019607843	1	0.89108911	0.36310102	4	1	1	0.5	0.49305619	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	2.315384303645824e-05	0.59136967	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	2	1	0	1	0.5	0.0	1.0	0.49137	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	stdlib_marker_lr_pilot	0.66301386	0.54711174	1	1	0.51485149	0.16171617	0	0	0	0.5	0.24028043	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	1.8612178630881786e-06	0.39675323	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.09549295421291563	1.0	0.396753	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	CXCL9	CXCR3	CXCL chemokine	stdlib_marker_lr_pilot	0.48172644	0.49692235	1	1	0.93069307	0.02310231	1	0.25	0.5	0.5	0.26093562	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	3.917220191558807e-06	0.40877928	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	2	1	0	1	0.5	0.0	1.0	0.308779	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	stdlib_marker_lr_pilot	5.3302849	0.7578125	0.019607843	0.032258065	0.67326733	0.75828892	4	1	1	0.5	0.78070696	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0002472977344986134	0.81698744	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.32194948653289013	0.0	0.816987	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	CCL2	CCR2	CCL chemokine	stdlib_marker_lr_pilot	0.21681523	0.38186553	0.019607843	1	0.73267327	0.4159063	4	1	1	0.5	0.53432625	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	3.413278768023115e-05	0.62364235	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	2	1	0	1	0.5	0.0	1.0	0.523642	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	CCL2	CCR2	CCL chemokine	stdlib_marker_lr_pilot	0.61678071	0.53527462	1	1	0.58415842	0.13861386	1	0.25	0.5	0.5	0.32636185	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	3.7325914366817793e-06	0.46073674	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.09833821567772587	1.0	0.460737	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	CCL2	CCR2	CCL chemokine	stdlib_marker_lr_pilot	0.54099642	0.51207386	1	1	0.83168317	0.05610561	0	0	0	0.5	0.18046758	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	1.590999377161714e-06	0.34925332	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	2	1	0	1	0.5	0.0	1.0	0.249253	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	CCL2	CCR2	CCL chemokine	stdlib_marker_lr_pilot	3.3398496	0.71875	0.019607843	0.032258065	0.8019802	0.71538463	4	1	1	0.5	0.75144232	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0001971074797517916	0.79396635	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.3097289715467182	0.0	0.793966	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	VEGFA	KDR	VEGF	stdlib_marker_lr_pilot	55.030675	0.88612689	0.019607843	0.032258065	0.04950495	0.96620971	4	1	1	0.5	0.91033024	high_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.00033846934602482217	0.91940292	high_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.6314607555978338	0.0	0.919403	high_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	VEGFA	KDR	VEGF	stdlib_marker_lr_pilot	97.310532	0.91311553	1	0.032258065	0.0099009901	0.65261365	4	1	1	0.5	0.75892993	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.00011508543936269537	0.79801279	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.7506071899160444	0.0	0.798013	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	VEGFA	KDR	VEGF	stdlib_marker_lr_pilot	3.8637704	0.73153409	1	1	0.36633663	0.21122112	0	0	0	0.5	0.30191738	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	1.2508946860381421e-05	0.44421856	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.2472665555965922	1.0	0.444219	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	VEGFA	KDR	VEGF	stdlib_marker_lr_pilot	14.827155	0.82007576	0.019607843	1	0.0099009901	0.65683039	4	1	1	0.5	0.74243035	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0006649168344365372	0.78574352	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.3665423158561678	1.0	0.785744	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	stdlib_marker_lr_pilot	20524.619	0.99786932	0.019607843	0.032258065	0.0099009901	0.97941103	4	1	1	0.5	0.93927938	high_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.020203059609098503	0.94144481	high_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	2.2914181290393376	0.0	0.941445	high_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	SPP1	CD44	SPP1	stdlib_marker_lr_pilot	6901.7992	0.99573864	1	1	0.0099009901	0.330033	0	0	0	0.5	0.41416423	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0007533611983923486	0.531374	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	2.218589012382881	0.0	0.531374	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	SPP1	CD44	SPP1	stdlib_marker_lr_pilot	3433.3242	0.98910985	1	1	0.0099009901	0.330033	1	0.25	0.5	0.5	0.51283847	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.00047759022048617756	0.60537968	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	1.77219570837434	1.0	0.60538	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	stdlib_marker_lr_pilot	2505.495	0.98555871	0.019607843	1	0.0099009901	0.65683039	4	1	1	0.5	0.77552694	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.010219439052549285	0.81056596	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	1.6998272956868643	1.0	0.810566	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	ITGAV	SPP1	stdlib_marker_lr_pilot	4122.4332	0.99171402	0.019607843	0.032258065	0.0099009901	0.97941103	4	1	1	0.5	0.93804832	high_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.004412014742646328	0.94052152	high_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	1.695148286727449	0.0	0.940522	high_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	SPP1	ITGAV	SPP1	stdlib_marker_lr_pilot	2761.3875	0.98650568	1	0.032258065	0.0099009901	0.65261365	1	0.25	0.5	0.5	0.67360796	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.00017693800005640195	0.73402131	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	1.84696120080881	0.0	0.734021	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	SPP1	ITGAV	SPP1	stdlib_marker_lr_pilot	689.59377	0.96472538	1	1	0.0099009901	0.330033	1	0.25	0.5	0.5	0.50796158	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	6.907648690746472e-05	0.60172201	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	1.1759707845237577	1.0	0.601722	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	stdlib_marker_lr_pilot	1002.4404	0.97324811	0.019607843	1	0.0099009901	0.65683039	4	1	1	0.5	0.77306482	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.004753043287265307	0.80871937	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	1.328144757509482	1.0	0.808719	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	stdlib_marker_lr_pilot	3064.2848	0.98768939	0.019607843	1	0.0099009901	0.65683039	4	1	1	0.5	0.77595307	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.004990984614073296	0.81088556	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	1.506883591161969	1.0	0.810886	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	MIF	CD74	MIF	stdlib_marker_lr_pilot	12190.915	0.99692235	1	0.032258065	0.0099009901	0.65261365	4	1	1	0.5	0.77569129	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0017069820846525078	0.81058381	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	2.586211570190812	0.0	0.810584	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	MIF	CD74	MIF	stdlib_marker_lr_pilot	492.07314	0.95857008	1	1	0.0099009901	0.330033	0	0	0	0.5	0.40673052	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	3.243574064910957e-05	0.52579871	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	1.1144089695094042	1.0	0.525799	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	stdlib_marker_lr_pilot	4248.4291	0.99195076	0.019607843	1	0.0099009901	0.65683039	4	1	1	0.5	0.77680535	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.007655151452020078	0.81152477	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	2.194202363108162	0.0	0.811525	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	DLL4	NOTCH1	NOTCH	stdlib_marker_lr_pilot	5.7514726	0.76278409	0.019607843	1	0.79207921	0.39610432	4	1	1	0.5	0.60060898	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.00011873241050899122	0.67285934	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.3641678836134704	1.0	0.672859	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	DLL4	NOTCH1	NOTCH	stdlib_marker_lr_pilot	3.8003028	0.73011364	1	1	0.79207921	0.06930693	0	0	0	0.5	0.23067619	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	2.498971198481478e-07	0.38723982	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.5166817286900406	0.0	0.38724	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	DLL4	NOTCH1	NOTCH	stdlib_marker_lr_pilot	7.0470064	0.7750947	1	0.32258065	0.75247525	0.3083147	3	0.75	1	0.5	0.55917629	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	7.784539739283954e-07	0.63959009	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.3920423710864266	1.0	0.63959	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	DLL4	NOTCH1	NOTCH	stdlib_marker_lr_pilot	10.104977	0.79663826	0.019607843	0.032258065	0.81188119	0.7120843	4	1	1	0.5	0.7653698	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.00025811621740694647	0.80432946	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.5446619267617264	0.0	0.804329	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	stdlib_marker_lr_pilot	52.683588	0.88328598	0.019607843	1	0.089108911	0.63042775	4	1	1	0.5	0.74187107	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0015646641732080578	0.784664	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.4315856782302161	1.0	0.784664	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	JAG1	NOTCH2	NOTCH	stdlib_marker_lr_pilot	35.440894	0.86245265	1	1	0.12871287	0.29042904	2	0.5	1	0.5	0.56770505	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	5.616181154651454e-05	0.64553951	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.5349972664379689	1.0	0.64554	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	JAG1	NOTCH2	NOTCH	stdlib_marker_lr_pilot	52.970494	0.88399621	1	1	0.15841584	0.28052805	1	0.25	0.5	0.5	0.46706327	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.00011926366926457282	0.56981065	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.631353593941184	0.0	0.569811	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.
